time_s,flow_m3_s,pressure_Pa
4.139261452290461385e-01,-1.269627333676514322e-05,2.698176480269068270e+05
4.146912582516506518e-01,-1.281778583449345639e-05,2.698168852387589868e+05
4.154563712742551651e-01,-1.292625408508565833e-05,2.698161350223422050e+05
4.162214842968596784e-01,-1.302254394270026563e-05,2.698153962487289100e+05
4.169865973194641917e-01,-1.310752126149578470e-05,2.698146675956012914e+05
4.177517103420687050e-01,-1.318205189563073213e-05,2.698139475472510676e+05
4.185168233646732183e-01,-1.324700169926362280e-05,2.698132343945798348e+05
4.192819363872777316e-01,-1.330323652655296142e-05,2.698125262350988341e+05
4.200470494098822449e-01,-1.335162223165727137e-05,2.698118209729290684e+05
4.208121624324867582e-01,-1.339302466873505566e-05,2.698111171490650740e+05
4.215772754550912715e-01,-1.342830969194483088e-05,2.698104173787996406e+05
4.223423884776957848e-01,-1.345834315544511530e-05,2.698097224031530204e+05
4.231075015003002981e-01,-1.348399091339440856e-05,2.698090324517242843e+05
4.238726145229048115e-01,-1.350611881995123741e-05,2.698083476440293598e+05
4.246377275455093248e-01,-1.352559272927410317e-05,2.698076679895009147e+05
4.254028405681138381e-01,-1.354327849552152244e-05,2.698069933874885901e+05
4.261679535907183514e-01,-1.356004197285201348e-05,2.698063236272587092e+05
4.269330666133228647e-01,-1.357674901542408440e-05,2.698056583879943937e+05
4.276981796359273780e-01,-1.359426547739624332e-05,2.698049972387954476e+05
4.284632926585318913e-01,-1.361345721292700851e-05,2.698043396386787645e+05
4.292284056811364046e-01,-1.363519007617488977e-05,2.698036849365777452e+05
4.299935187037409179e-01,-1.366032992129840368e-05,2.698030323713429389e+05
4.307586317263454312e-01,-1.368974260245606175e-05,2.698023810717412853e+05
4.315237447489499445e-01,-1.372429397380637377e-05,2.698017300564566976e+05
4.322888577715544578e-01,-1.376484988950784955e-05,2.698010782340901205e+05
4.330539707941589711e-01,-1.381219426112308311e-05,2.698004262212471804e+05
4.338190838167634844e-01,-1.386664498881763039e-05,2.697997755139207002e+05
4.345841968393679977e-01,-1.392835545844337634e-05,2.697991247220066725e+05
4.353493098619725110e-01,-1.399747886857714816e-05,2.697984723137731198e+05
4.361144228845770243e-01,-1.407416841779577640e-05,2.697978166474048048e+05
4.368795359071815376e-01,-1.415857730467608825e-05,2.697971559710030560e+05
4.376446489297860509e-01,-1.425085872779491596e-05,2.697964885613489896e+05
4.384097619523905642e-01,-1.435116588572909011e-05,2.697958176414283225e+05
4.391748749749950775e-01,-1.445965197705543787e-05,2.697951447609105962e+05
4.399399879975995908e-01,-1.457647020035078981e-05,2.697944692052453756e+05
4.407051010202041041e-01,-1.470177375419197481e-05,2.697937902932491270e+05
4.414702140428086174e-01,-1.483571583715582342e-05,2.697931073771051597e+05
4.422353270654131308e-01,-1.497844964781916791e-05,2.697924198423635680e+05
4.430004400880176441e-01,-1.513012838475883208e-05,2.697917271079409984e+05
4.437655531106221574e-01,-1.529090524655164987e-05,2.697910286261212896e+05
4.445306661332266707e-01,-1.546093343177445186e-05,2.697903238825547160e+05
4.452957791558311840e-01,-1.564036613900406014e-05,2.697896123962586280e+05
4.460608921784356973e-01,-1.582935656681731543e-05,2.697888937196169863e+05
4.468260052010402106e-01,-1.602805791379103816e-05,2.697881674383805948e+05
4.475911182236447239e-01,-1.623662337850206226e-05,2.697874331716671004e+05
